
TracePro Release: 7 3 4 
Incident Ray Table for 

Linear Units in millimeters
Data for screen Surface 1
Data generated at 14:01:33 October 07, 2025

Ray     	Start   	Split   
Number  	Number  	Number  	Type        	Hist        	Inc Flux      	Abso Flux     	X Pos.        	Y Pos.        	Z Pos.        	X Vec.        	Y Vec.        	Z Vec.        	X Norm        	Y Norm        	Z Norm        	S0            	S1            	S2            	S3            	DegOfPol      	ElliRatio     	X MajAxis     	Y MajAxis     	Z MajAxis     	
Wavelength = 0.5 (Source: mysource)
       1	       1	       5	    SpecTran	      NoInfo	      0.855795	      0.855795	      -3.92082	       4.18185	       1.04243	     -0.748476	      0.654299	      0.108057	      0.788011	     -0.615661	             0	      0.855795	             0	             0	             0	             0	             0	             0	             0	             0	
       2	       2	       5	    SpecTran	      NoInfo	      0.855768	      0.855768	      -4.94183	       2.87502	     -0.867308	     -0.861303	      0.499174	    -0.0947801	      0.788011	     -0.615661	             0	      0.855768	             0	             0	             0	             0	             0	             0	             0	             0	
       3	       3	       5	    SpecTran	      NoInfo	      0.855768	      0.855768	      -4.50495	        3.4342	         1.298	     -0.816045	      0.557322	      0.153172	      0.788011	     -0.615661	             0	      0.855768	             0	             0	             0	             0	             0	             0	             0	             0	
       4	       4	       5	    SpecTran	      NoInfo	      0.098111	      0.098111	      -3.19366	       5.11256	     -0.873437	     -0.641629	      0.760145	     -0.102431	      0.788011	     -0.615661	             0	      0.098111	             0	             0	             0	             0	             0	             0	             0	             0	
       5	       5	       5	    SpecTran	      NoInfo	      0.256592	      0.256592	      -3.62303	       4.56301	      0.359821	     -0.716023	      0.696889	     0.0407038	      0.788011	     -0.615661	             0	      0.256592	             0	             0	             0	             0	             0	             0	             0	             0	
       6	       6	       5	    SpecTran	      NoInfo	       0.16324	       0.16324	      -3.35582	       4.90501	       1.59052	     -0.670189	      0.717619	      0.189392	      0.788011	     -0.615661	             0	       0.16324	             0	             0	             0	             0	             0	             0	             0	             0	
       7	       7	       5	    SpecTran	      NoInfo	      0.562966	      0.562966	      -3.89765	       4.21151	      0.317047	     -0.738428	      0.671505	     0.0616909	      0.788011	     -0.615661	             0	      0.562966	             0	             0	             0	             0	             0	             0	             0	             0	
       8	       8	       5	    SpecTran	      NoInfo	      0.434452	      0.434452	      -3.84036	       4.28483	      0.216871	     -0.734433	      0.677291	     0.0434269	      0.788011	     -0.615661	             0	      0.434452	             0	             0	             0	             0	             0	             0	             0	             0	
       9	       9	       5	    SpecTran	      NoInfo	      0.187958	      0.187958	      -3.48108	       4.74469	       -1.6008	     -0.682901	      0.709612	     -0.173483	      0.788011	     -0.615661	             0	      0.187958	             0	             0	             0	             0	             0	             0	             0	             0	
      10	      10	       5	    SpecTran	      NoInfo	      0.104576	      0.104576	      -3.36218	       4.89687	     -0.451602	     -0.651742	      0.755654	    -0.0649589	      0.788011	     -0.615661	             0	      0.104576	             0	             0	             0	             0	             0	             0	             0	             0	
      11	      11	       5	    SpecTran	      NoInfo	     0.0969983	     0.0969983	       -3.2892	       4.99029	     -0.866798	      -0.63941	      0.760868	     -0.110609	      0.788011	     -0.615661	             0	     0.0969983	             0	             0	             0	             0	             0	             0	             0	             0	
      12	      12	       5	    SpecTran	      NoInfo	      0.855602	      0.855602	      -5.17033	       2.58255	      -1.58535	     -0.875716	      0.449084	     -0.177326	      0.788011	     -0.615661	             0	      0.855602	             0	             0	             0	             0	             0	             0	             0	             0	
      13	      13	       5	    SpecTran	      NoInfo	      0.855611	      0.855611	      -4.51479	        3.4216	      -2.10141	     -0.795822	      0.552621	     -0.247543	      0.788011	     -0.615661	             0	      0.855611	             0	             0	             0	             0	             0	             0	             0	             0	
      14	      14	       5	    SpecTran	      NoInfo	      0.112535	      0.112535	      -3.28512	       4.99551	     0.0139877	     -0.661179	      0.750229	   0.000141483	      0.788011	     -0.615661	             0	      0.112535	             0	             0	             0	             0	             0	             0	             0	             0	
      15	      15	       5	    SpecTran	      NoInfo	       0.17274	       0.17274	      -3.60037	         4.592	      -1.72948	     -0.672247	      0.713502	     -0.197484	      0.788011	     -0.615661	             0	       0.17274	             0	             0	             0	             0	             0	             0	             0	             0	
      16	      16	       5	    SpecTran	      NoInfo	      0.206465	      0.206465	      -3.60976	       4.57998	     -0.572439	     -0.703114	      0.707815	    -0.0680364	      0.788011	     -0.615661	             0	      0.206465	             0	             0	             0	             0	             0	             0	             0	             0	
      17	      17	       5	    SpecTran	      NoInfo	      0.855669	      0.855669	      -5.28707	       2.43313	      -1.29873	     -0.880191	      0.453451	     -0.140163	      0.788011	     -0.615661	             0	      0.855669	             0	             0	             0	             0	             0	             0	             0	             0	
